seq,ax,ay,az,gx,gy,gz,label
1,-0.095947,0.046631,0.976807,-3.557252,0.412214,0.832061,A
1,-0.089355,0.051025,0.974121,-2.648855,-0.450382,0.923664,A
1,-0.097412,0.035889,0.992432,-2.778626,-0.312977,0.671756,A
1,-0.095215,0.052979,0.972412,-4.473282,-0.190840,-0.190840,A
1,-0.092529,0.042236,0.962891,-3.801527,-0.244275,-0.740458,A
1,-0.094482,0.063477,0.956055,-3.503817,0.458015,-0.740458,A
1,-0.094238,0.069824,0.954346,-5.274809,1.786260,0.061069,A
1,-0.090332,0.055664,0.963379,-4.893130,3.656489,0.900763,A
1,-0.076660,0.057129,0.952881,-4.030534,5.961832,1.679389,A
1,-0.087158,0.031982,0.982422,-6.274809,8.366412,-0.038168,A
1,-0.092773,0.058105,1.042480,-9.786260,8.572519,-0.244275,A
1,-0.084961,0.035400,1.088379,-9.114504,7.335878,0.587786,A
1,-0.040283,0.070068,1.127197,-12.358779,10.038168,3.496183,A
1,-0.059814,0.021973,1.320557,-19.541985,15.877863,6.442748,A
1,-0.121338,-0.049561,1.527832,-24.595419,14.709924,8.183207,A
1,-0.217529,-0.083740,1.747070,-29.564886,4.000000,6.351145,A
1,-0.241699,-0.139160,1.799561,-32.694656,-19.137405,0.396947,A
1,-0.243652,-0.127930,1.802490,-34.770992,-41.122139,-1.564885,A
1,-0.177734,-0.113770,1.661621,-31.335878,-54.893131,-4.328244,A
1,-0.179443,-0.105957,1.635986,-37.839695,-63.167938,-8.572519,A
1,-0.203125,-0.104492,1.665527,-52.740459,-79.259544,-17.374046,A
1,-0.194824,-0.133545,1.572998,-56.564884,-97.984734,-23.374046,A
1,-0.169434,-0.101074,1.419922,-47.381680,-108.702293,-25.854961,A
1,-0.127441,-0.123779,1.202148,-25.534351,-114.786263,-24.251909,A
1,-0.084961,-0.068604,0.999512,-5.068702,-113.687019,-23.687023,A
1,-0.055908,0.050781,0.807617,-8.206107,-109.206108,-25.305344,A
1,-0.015137,0.054199,0.689209,-23.473282,-103.725189,-28.938931,A
1,0.059326,-0.029297,0.564697,-26.320610,-97.625954,-28.549618,A
1,0.107910,-0.026611,0.429932,-15.374045,-84.488548,-29.931297,A
1,0.125488,-0.018555,0.363037,-13.519084,-68.045799,-27.969465,A
1,0.139648,0.023682,0.391357,-26.312977,-56.778625,-31.549618,A
1,0.159912,-0.015869,0.437012,-36.488548,-50.106869,-31.206106,A
1,0.193115,-0.052734,0.460205,-37.366413,-48.748093,-30.870230,A
1,0.229736,-0.072998,0.436523,-41.900764,-45.137405,-29.618320,A
1,0.263184,-0.156006,0.380371,-39.954197,-38.030533,-29.671755,A
1,0.282471,-0.115234,0.344727,-32.832062,-32.656490,-27.656488,A
1,0.291260,-0.154541,0.242188,-25.488550,-21.328245,-23.740458,A
1,0.294678,-0.203125,0.207275,-14.206107,-5.908397,-21.068703,A
1,0.296143,-0.172852,0.204346,-1.267176,6.587786,-17.854961,A
1,0.303467,-0.177246,0.202393,5.793893,19.404581,-16.335878,A
1,0.271973,-0.189941,0.241211,8.290076,27.931297,-15.862596,A
1,0.243896,-0.130371,0.235107,7.175572,37.351147,-16.129770,A
1,0.238281,-0.070068,0.244629,4.305344,52.396946,-15.427481,A
1,0.236572,-0.052002,0.306152,-4.152672,67.389313,-15.770992,A
1,0.243408,-0.135010,0.358887,-12.091603,77.832062,-15.290076,A
1,0.257813,-0.189453,0.487793,-6.916030,94.931297,-18.465649,A
1,0.228760,-0.119141,0.595215,-5.442748,99.061066,-22.442749,A
1,0.183350,-0.178467,0.612061,-21.129770,101.190842,-28.641222,A
1,0.205811,-0.290039,0.724365,-9.458015,115.694656,-35.725189,A
1,0.173828,-0.177734,0.803223,17.167938,125.839691,-32.709923,A
1,0.032715,-0.212891,0.964600,30.801527,137.343506,-38.694656,A
1,-0.057129,-0.095947,1.163574,36.740459,146.183212,-48.679390,A
1,-0.200928,0.142822,1.563721,37.137405,132.419846,-45.473282,A
1,-0.239990,0.180908,1.637695,26.534351,105.450378,-37.496181,A
1,-0.270996,0.205078,1.743652,13.145039,87.236641,-36.320610,A
1,-0.281006,0.234375,1.867676,8.183207,61.778625,-28.679390,A
1,-0.292725,0.284424,1.931396,12.488549,41.396946,-23.160305,A
1,-0.299561,0.470947,1.999939,15.954199,18.519083,-14.045801,A
1,-0.272949,0.645264,1.999939,13.732824,-3.190840,6.526718,A
1,-0.216309,0.617676,1.999939,12.748092,-33.824429,26.801527,A
1,-0.159180,0.666992,1.912598,5.206107,-59.618320,44.923664,A
1,-0.069092,0.649902,1.554199,-6.801527,-75.038170,63.664124,A
1,-0.041260,0.633789,1.398438,-14.938931,-75.038170,85.877861,A
1,-0.022217,0.515869,1.239990,-15.984733,-85.038170,105.633591,A
1,-0.009766,0.398682,1.047119,-21.183207,-94.213737,120.862595,A
1,0.061523,0.231689,0.805176,-28.328245,-95.824425,127.190842,A
1,0.084473,0.105469,0.668945,-35.740459,-87.763359,132.625961,A
1,0.103760,-0.071289,0.540283,-37.236641,-78.557251,132.335876,A
1,0.182861,-0.286865,0.410400,-26.656488,-59.992367,132.114502,A
1,0.224854,-0.433838,0.328613,-12.335877,-32.847328,121.748093,A
1,0.182129,-0.477783,0.371338,-21.916031,-5.786260,106.984734,A
1,0.085449,-0.651367,0.524902,-29.687023,8.251908,87.702293,A
1,0.008545,-0.707031,0.664551,-25.618320,12.099236,71.099236,A
1,-0.075439,-0.755127,0.770264,-24.488550,16.786259,50.977100,A
1,-0.137207,-0.794922,0.832031,-28.389313,18.038168,29.557251,A
1,-0.185547,-0.789063,0.867676,-29.251909,22.671755,10.351145,A
1,-0.238037,-0.847412,0.929199,-27.305344,26.519083,-5.801527,A
1,-0.294922,-0.868408,1.028564,-16.824427,26.763359,-21.236641,A
1,-0.326660,-0.913086,1.119629,-6.419847,18.923664,-41.671757,A
1,-0.284912,-0.788818,1.078369,-1.251908,9.748092,-60.610687,A
1,-0.222412,-0.735352,1.027588,6.152672,5.755725,-71.618324,A
1,-0.169678,-0.680176,0.930420,16.961832,3.122137,-81.061066,A
1,-0.120850,-0.589355,0.903564,21.244274,6.374046,-93.564888,A
1,-0.085693,-0.476807,0.903076,19.404581,11.580153,-106.175575,A
1,-0.088867,-0.368164,1.002441,16.282442,11.984733,-116.251907,A
1,-0.060059,-0.230225,1.021240,17.740458,4.419847,-117.038170,A
1,-0.026123,-0.161133,0.961670,16.221375,0.702290,-122.114502,A
1,0.017822,-0.050049,0.910400,10.381680,2.099237,-123.778625,A
2,-0.207764,0.041504,0.980469,-3.954198,1.854962,-1.381679,A
2,-0.213623,0.030029,0.976563,-3.687023,1.419847,-0.809160,A
2,-0.215088,0.042236,0.993408,-3.511450,1.167939,-1.290076,A
2,-0.213867,0.030029,1.006348,-3.175573,-0.137405,-0.656489,A
2,-0.206055,0.033691,0.968994,-2.786260,-1.236641,-0.816794,A
2,-0.200439,0.038086,0.950684,-4.099236,-0.458015,-0.877863,A
2,-0.206543,0.030762,0.957275,-3.862595,0.198473,-0.633588,A
2,-0.201660,0.027100,0.950684,-3.870229,0.618321,-0.877863,A
2,-0.200439,0.036377,0.939209,-5.572519,0.404580,-0.557252,A
2,-0.187256,0.030762,0.940186,-4.770992,1.206107,-0.167939,A
2,-0.177246,0.021484,0.943115,-5.053435,4.045802,-0.129771,A
2,-0.187988,0.047363,1.009521,-7.015267,7.160306,-0.587786,A
2,-0.144043,0.112793,1.067383,-12.648855,13.564885,3.488550,A
2,-0.222900,0.066895,1.374023,-29.282442,18.145039,10.183207,A
2,-0.289307,-0.118408,1.645508,-42.938931,7.068702,12.358779,A
2,-0.372314,-0.222900,1.891602,-46.969467,-10.206107,8.564885,A
2,-0.371826,-0.330811,1.906494,-35.419846,-31.000000,-0.297710,A
2,-0.393311,-0.234863,1.854248,-12.946565,-50.770992,-4.595420,A
2,-0.394775,-0.125977,1.696045,-7.725191,-74.335876,-10.778625,A
2,-0.378174,-0.013916,1.535400,-24.427481,-93.274811,-17.022902,A
2,-0.353271,-0.010498,1.397217,-38.152672,-110.480919,-19.816793,A
